# target_mode=low_rank
# benchmark=sphere
target_mode,lora_rank,search_dim,method,seed,is_best,relative_mse,benchmark_value
low_rank,1,40,Random_blocking,11011,0,9.2700973714170731e-01,9.3091190981343275e-01
low_rank,1,40,Random_blocking,11012,0,8.9604459531808089e-01,8.9981642272442341e-01
low_rank,1,40,Random_blocking,11013,0,8.6877384292767024e-01,8.7243087630278349e-01
low_rank,1,40,Random_blocking,11014,0,9.2003874461245261e-01,9.2391157345373853e-01
low_rank,1,40,Random_blocking,11015,0,8.9033582478626616e-01,8.9408362158379651e-01
low_rank,1,40,Random_blocking,11016,0,8.5488038586876414e-01,8.5847893585769630e-01
low_rank,1,40,Random_blocking,11017,0,9.4533980169331366e-01,9.4931913329239281e-01
low_rank,1,40,Random_blocking,11018,0,8.8018952297419339e-01,8.8389460973312994e-01
low_rank,1,40,Random_blocking,11019,0,9.2889976020690801e-01,9.3280988877818716e-01
low_rank,1,40,Random_blocking,11020,0,8.8553504758554613e-01,8.8926263589890953e-01
low_rank,1,40,Random_blocking,11021,0,8.9327693916544804e-01,8.9703711634658712e-01
low_rank,1,40,Random_blocking,11022,0,9.0269068387345708e-01,9.0649048745318339e-01
low_rank,1,40,Random_blocking,11023,0,8.8095443280495744e-01,8.8466273939009255e-01
low_rank,1,40,Random_blocking,11024,0,8.9262316818731258e-01,8.9638059337228360e-01
low_rank,1,40,Random_blocking,11025,0,9.0417714794591841e-01,9.0798320867618865e-01
low_rank,1,40,Random_blocking,11026,0,8.7642594331294144e-01,8.8011518758704355e-01
low_rank,1,40,Random_blocking,11027,0,9.1307789293553987e-01,9.1692142063348581e-01
low_rank,1,40,Random_blocking,11028,0,9.0361054783906680e-01,9.0741422351191625e-01
low_rank,1,40,Random_blocking,11029,0,8.8619566661927951e-01,8.8992603575514839e-01
low_rank,2,80,LoRA_SVD,,1,2.2121600502269953e-31,2.2214719594201982e-31
low_rank,2,80,LoRA_LBFGS,3,1,5.3815686887513946e-17,5.4042219678129596e-17
low_rank,2,80,Random_projection,21000,0,7.8289237591866279e-01,7.8618789818969259e-01
low_rank,2,80,Random_projection,21001,0,8.0309371761953285e-01,8.0647427580804987e-01
low_rank,2,80,Random_projection,21002,0,7.7830542062569741e-01,7.8158163447862394e-01
low_rank,2,80,Random_projection,21003,0,8.1822557141252084e-01,8.2166982591832305e-01
low_rank,2,80,Random_projection,21004,0,8.1268163757042766e-01,8.1610255533415954e-01
low_rank,2,80,Random_projection,21005,0,8.2409131313871720e-01,8.2756025901090569e-01
low_rank,2,80,Random_projection,21006,0,7.7204760629886671e-01,7.7529747838743790e-01
low_rank,2,80,Random_projection,21007,0,7.9168120168107481e-01,7.9501371980482616e-01
low_rank,2,80,Random_projection,21008,0,8.3174160089273019e-01,8.3524275003378246e-01
low_rank,2,80,Random_projection,21009,0,7.8317982913188189e-01,7.8647656141401312e-01
low_rank,2,80,Random_projection,21010,0,7.7600630696667017e-01,7.7927284288620502e-01
low_rank,2,80,Random_projection,21011,1,7.5936367627208134e-01,7.6256015638089480e-01
low_rank,2,80,Random_projection,21012,0,7.9360617645130582e-01,7.9694679760099219e-01
low_rank,2,80,Random_projection,21013,0,7.9022736792877035e-01,7.9355376625667684e-01
low_rank,2,80,Random_projection,21014,0,8.0506503416020803e-01,8.0845389044660265e-01
low_rank,2,80,Random_projection,21015,0,8.5912421304746633e-01,8.6274062708439780e-01
low_rank,2,80,Random_projection,21016,0,7.9912736602473833e-01,8.0249122817633189e-01
low_rank,2,80,Random_projection,21017,0,8.4444474159517846e-01,8.4799936358177719e-01
low_rank,2,80,Random_projection,21018,0,8.2358032080575672e-01,8.2704711569696054e-01
low_rank,2,80,Random_projection,21019,0,7.8380440754768821e-01,7.8710376894225254e-01
low_rank,2,80,Random_projection,21020,0,7.6431434092931549e-01,7.6753166046144716e-01
low_rank,2,80,Random_projection,21021,0,7.7082408948049919e-01,7.7406881127377059e-01
low_rank,2,80,Random_projection,21022,0,8.0218885752660152e-01,8.0556560677958644e-01
low_rank,2,80,Random_projection,21023,0,8.1448703574326065e-01,8.1791555318489162e-01
low_rank,2,80,Random_projection,21024,0,8.1839950431484687e-01,8.2184449097716383e-01
low_rank,2,80,Random_projection,21025,0,7.8070442165771992e-01,7.8399073391187302e-01
low_rank,2,80,Random_projection,21026,0,7.9154370898140847e-01,7.9487564834073721e-01
low_rank,2,80,Random_projection,21027,0,7.8030585402733788e-01,7.8359048854321822e-01
low_rank,2,80,Random_projection,21028,0,8.0859441785650810e-01,8.1199813079872396e-01
low_rank,2,80,Random_projection,21029,0,8.3023579651900148e-01,8.3373060709807245e-01
low_rank,2,80,Random_blocking,21000,0,7.7801958106219526e-01,7.8129459169654869e-01
low_rank,2,80,Random_blocking,21001,0,8.0993992525210956e-01,8.1334930199911459e-01
low_rank,2,80,Random_blocking,21002,0,8.2148048739629465e-01,8.2493844320823395e-01
low_rank,2,80,Random_blocking,21003,0,7.7169787885239083e-01,7.7494627879150169e-01
low_rank,2,80,Random_blocking,21004,0,7.9810721355154335e-01,8.0146678145363515e-01
low_rank,2,80,Random_blocking,21005,0,8.0219887867864170e-01,8.0557567011485731e-01
low_rank,2,80,Random_blocking,21006,0,8.0245052550485707e-01,8.0582837622807790e-01
low_rank,2,80,Random_blocking,21007,0,7.8904992662433249e-01,7.9237136860809643e-01
low_rank,2,80,Random_blocking,21008,0,7.5312119522677556e-01,7.5629139811544477e-01
low_rank,2,80,Random_blocking,21009,0,8.4844046736375434e-01,8.5201190903549018e-01
low_rank,2,80,Random_blocking,21010,0,7.8793483401633346e-01,7.9125158210776048e-01
low_rank,2,80,Random_blocking,21011,0,8.1734753009641181e-01,8.2078808855815855e-01
low_rank,2,80,Random_blocking,21012,0,8.2314823340031107e-01,8.2661320945445449e-01
low_rank,2,80,Random_blocking,21013,0,7.6780051180084308e-01,7.7103250608789775e-01
low_rank,2,80,Random_blocking,21014,0,7.5687093824975471e-01,7.6005692537904623e-01
low_rank,2,80,Random_blocking,21015,0,7.8413814954345695e-01,7.8743891579801695e-01
low_rank,2,80,Random_blocking,21016,0,7.9311122679967450e-01,7.9644976449874860e-01
low_rank,2,80,Random_blocking,21017,0,8.0052820827961890e-01,8.0389796716362572e-01
low_rank,2,80,Random_blocking,21018,0,8.4677534072496308e-01,8.5033977318050147e-01
low_rank,2,80,Random_blocking,21019,0,8.2589539785896104e-01,8.2937193788017594e-01
low_rank,2,80,Random_blocking,21020,0,8.4321489260810178e-01,8.4676433764464765e-01
low_rank,2,80,Random_blocking,21021,0,7.9174780144042667e-01,7.9508059991048985e-01
low_rank,2,80,Random_blocking,21022,0,8.0462530324137294e-01,8.0801230851595429e-01
low_rank,2,80,Random_blocking,21023,0,8.0000941533041126e-01,8.0337699039736887e-01
low_rank,2,80,Random_blocking,21024,0,7.9391810494232351e-01,7.9726003912981780e-01
low_rank,2,80,Random_blocking,21025,0,7.6756289961703883e-01,7.7079389369478291e-01
low_rank,2,80,Random_blocking,21026,0,7.9673886259083826e-01,8.0009267052999733e-01
low_rank,2,80,Random_blocking,21027,0,8.3854360311411691e-01,8.4207338473454652e-01
low_rank,2,80,Random_blocking,21028,1,7.5046098373913395e-01,7.5361998868224533e-01
